,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,ZEC-USD,0.06965009176983877,12.0
1,XTZ-USD,ENJ-USD,2.7256431333138034,7.0
2,XTZ-USD,YFI-USD,0.000123791869429679,17.0
3,XTZ-USD,SUSHI-USD,1.1968544010639497,6.0
4,XTZ-USD,1INCH-USD,2.533890387000031,8.0
5,ICP-USD,UMA-USD,2.6319276234132936,7.0
6,ICP-USD,DOGE-USD,63.97201401859125,12.0
7,ICP-USD,1INCH-USD,13.455469214479901,20.0
8,LINK-USD,RUNE-USD,6.107199938590319,8.0
9,LINK-USD,ZRX-USD,29.571727417804375,8.0
10,LINK-USD,EOS-USD,8.433199574867807,12.0
11,LINK-USD,DOT-USD,1.1880281613960992,20.0
12,ATOM-USD,YFI-USD,0.0014447795752198266,23.0
13,ATOM-USD,ETH-USD,0.004940414010868658,11.0
14,RUNE-USD,DOT-USD,0.1945072670328282,20.0
15,ZRX-USD,UNI-USD,0.039945264353743785,18.0
16,EOS-USD,ETH-USD,0.00037849298324121324,20.0
17,NEAR-USD,1INCH-USD,4.435326948892724,12.0
18,SUSHI-USD,1INCH-USD,2.1170186413169487,4.0
19,ADA-USD,DOGE-USD,4.316803386296017,9.0
20,DOGE-USD,MATIC-USD,0.10017117698555372,10.0
21,DOGE-USD,ETH-USD,3.513872053717319e-05,9.0
